Wolaytta Gofa
cayiis cayis
cecciis ceccis
ceebbiis ceebbis
ceeqettiis ceeqettis
ceeqqiis ceeqqis
ceeriya ceeriya
cibibiiis cibibiis
cichchiis cichchis
cidhdhiis cidhdhis
cifiis cifis
ciggiis ciggis
ciipparssiis ciipparssis
ciiriis ciiris
cilooshiis cilooshis
cimmiis cimmis
cinggiis cinggis
cippayiis cippayis
cirppiis cirppis
cirppinttiis cirppinttis
cittayiis cittayis
coayiis coayis
cou cou
cou cou
combbayiis combbayis
conoqayiis conoqayis
coodhdhettiis coodhdhettis
coommiis coommis
coppayiis coppayis
corayiis corayis
corddodayiis corddodayis
corggochchiis corggochchis
coroshiis coroshis
corphphayiis corphphayis
corphphu corphphu
cuccumiis cuucummis
cuchchiis cuchchis
cuggiis cuggis
cuguddiis cuguddis
cuuchchaa cuuchchaa
cuulliis cuullis
cuuphiis cuuphis
cuwayiis cuyayis
daabuliis daabulis
daadulmatiis daadulmatis
daafettiis daafettis
daafiis daafis
daafurssiis daaburis
daaggiis daaggis
daahettiis daahettis
daakettiis daakettis
daakkiis daakkis
daaliis daalis
daasiis daasis
daaxxiis daaxxis
dabboyiis dabboyis
dabuluuqiis dabuluuqis
daddahiis daddahis
daddiis daddis
dadettiis dadettis
dafi dafi
dafiis dafis
dagammiis dagammis
daganttiis daganttis
dagayiis dagayis
daggiis daggis
dakkoyiis dakkoyis
damaamiis damaamis
dammettiis dammettis
dancciis danccis
danddayettiis Dandda'ettis
danddayiis danddayis
danddayissiis danddayissis
dankkiis dankkis
danoyiis danoyis
danttiis danttis
daraxiis daraxis
darcciis darccis
darccunttiis darccunttis
dargganttiis dargganttis
darissiis darissis
darqqunttiis darqqunttis
darxxiis darxxis
dashiis dashis
dawttiis dawttis
dawwaliis dawwalis
daxiis daxis
dayiis dayis
dechchiis dechchis
decissiis decissis
deexxiis deexxis
dembbayiis dembbayis
demmiis demmis
dentterettiis dentterethis
denttettiis denttettis
denttiis denttis
dereqqiis dereqis
diiis diis
dichchiis dichchis
diddiqiis diddiqis
diddiqiis diddiqis
didigaayiis didigaayis
diggiis diggis
diippiis diippis
diiqiis diiqis
diisiis disis
diixxiis diixxis
diliis dilis
dimakkiis dimakkis
dimakkiis dimakkis
dincciis dinccis
dinddoyiis dinddoyis
dinnaaqiis dinnaaqis
dinxxi dinxxi
dippi dippi
dirbbanttiis dirbbanttis
dirbbiis dirbbis
dirgginttiis dirgginttis
diriis diris
dirimiis dirimis
dirqqalliis dirqqallis
dirxxiis dirxxis
doddoqettiis doddoqettis
doggomiis doggomis
dogiis dogis
dolettiis dolettis
domiis domis
doncciis donccis
donttiis donttis
dooddiis dooddis
doodettaa doodettaa
doommiis doommis
doonaa doonaa
dooqqiis dooqqis
dooríís dooríís
dóóriis dóóris
dooruwassi dooruwassi
dooyiis dooyis
dorxxayiis dorxxayis
doshissiis doshisis
dosiis dosis
doyssiis doysis
duchchisiis duchchisis
dukkiis dukkis
dulakkiis dulakkis
dummayiis dummayis
dunkkaaniis dunkkaanis
duraaduriis durdduris
dureyiis dureyis
duubbaliis duubbalis
duuqqiis duuqqis
duutti duutti
duwarssiis duwarssis
duxxiis duxxis
eeniis eenis
eeqiis eeqis
eesoyiis eesoyis
eessaa eessaa
eessiis eessis
eettiis eettis
eeyyettiis eeyyettis
eeyyiis eeyis
efiis efis
ehiis ehis
ekki ekki
ekkiis ekkis
encciis enccis
enccurettiis enccurettis
enccuriis enccuris
eqettiis eqettis
eqqiis eqqis
eretissiis eretissis
erettíís erettíís
eriis eris
erissiis erisis
essiis essis
exatiis exatis
ezggiis ezggis
fiixiis fiixis
gaabbuliis gaabbulis
gaacciis gaaccis
gaadiis gaaddis
gaaniis gaanis
gaarettiis gaarettis
gaariis gaaris
gaasoyiis gaasoyis
gaaxaatiis gaaxaatis
gaaxxiis gaaxxis
gacciis gaccis
gacinnaasu gacinnasu
gaddabbi gaddabbi
gaddadettiis gaddadettis
gadulliis gadullis
gaganttiis gaganttis
gaggiis gaggis
gagisiis gagisis
galatiis galatis
gallunttiis gallunttis
gammaa gammaa
gammatiis gammatis
ganiis ganis
ganttiis ganttis
ganxxiis ganxxis
garamiis garamis
garamissiis garamissis
garanttiis garanttis
garcciis garccis
garmaamiis garmaamis
garxxi garxxi
garxxiis garxxis
gasttissiis gasttissis
gatiya gatiya
gatiya gatiya
gatti gatti
gattiis gathis
gawdiis gawdis
gawhayiis gawhayis
gawhiis gawhis
gawhu gawhu
gawlliis gawllis
gaxayiis gaxayis
gaylliis gayllis
gayriis gayris
gayttiis gahettis
geeddariis geeddaris
geeddiis geeddis
geelaotettaa geelaotettaa
geellayiis geellayis
geeshshiis geeshshis
geeyiis geeyis
gelissiis gelisiis
geniis genis
genttiis genthis
geppiis geppis
gereeriis gereeris
giddaajiis giddaajis
giddiis giddis
giddoyiis giddoyis
giggishiis giggishis
giiciis giicis
giigissiis giigisis
giiriis giiris
giiriis giiris
giis gis
giishshaa gishshaa
giishshiis gishshis
gilddayiis gilddayis
gililiis gililis
gimbbiis gimbbis
ginariis ginaris
ginddiis ginddis
ginddiis ginddis
ginggilicayiis ginggilicayis
girggiis girggis
gishiis gishis
gishshaa gishshaa
gishshaa gishshaa
gishshaw gishshaw
gitayiis gitayis
gitiyan gitiyan
gittiis gittis
gitto gitto
gitto gitto
gixxiis gixxis
godatiis godatis
godoo godoo
gojiis gojis
golddodattiis golddodattis
gombbiis gombbis
goncciis gonccis
gonddalliis gonddallis
gonddorssiis gonddorssis
gonniis gonnis
goochchiis goochchis
gooddiis gooddis
goodiis goodis
goommiis goommis
gooraiis goorais
gooraxiis gooraxis
gooshshiis gooshshis
gorccayiis gorccayis
gorddiis gorddis
gorppiis gorppis
gorshshayiis gorshshayis
goxxiis goxxis
goydiis goydis
goyiis goyis
goyriis goyris
goyriis goyris
goyruwa goyruwa
gubaayiis gubaayis
gubbisiis gubbisis
gujji gujji
gujjiis gujjis
gulbbatissiis gulbbatisis
gullettiis gullettis
gumiis gumis
gunttiis gunttis
guppi guppi
gurddiis gurddis
guriis guris
gurumettiis gurumettis
gusiis gusis
gussiis gussis
guufetiis guufetis
guuppiis guuppis
guuttiis guuthis
guye guye
guye guye
guye guye
haarettiis haarettis
haaríís haaríís
hááriis hááris
haashiis haashis
haassiis haassis
haattatiis haattatis
haattayiis haattayis
haaxxiis haaxxis
habbeeriis habbeeris
hachachchi hachachchi
hadaraa hadaraa
hadariis hadaris
hadhdhafiis hadhdhafis
haggaaziis haggaazis
hala hala
halaqatiis halaqatis
halchchiis halchchis
halggiis halggis
haliis halis
hallakkiis hallakkis
halluuti halluuti
halluuti halluuti
halqqunttiis halqqunttis
haluwa haluwa
haluwa haluwa
hambbalaachchiis hambbalaachchis
hambbalaashiis hambbalaashis
hambburuuciis hambburuucis
hamma hamma
hammasiis hammasis
hancceefiis hancceefis
hanggiis hanggis
hanissiis hanissis
haniyobaa haniyobaa
hanqqettiis hanqqettis
hanqqiis hanqqis
hanttukettiis hanttukettis
hanyny hanyny
haphphiis haphphis
happi happi
happihappiis happihappis
happiis happis
happurssettaa happurssettaa
haraa haraa
haraa haraa
harbbuuqiis harbbuuqis
harddiis harddis
harggissiis harggissis
hariya hariya
harqqiis harqqis
harqqunttiis harqqunttis
harshshuushiis harshshuushis
harummiis harmmis
harxxiis harxxis
hashekkiis hashekkis
hasiis hasis
hassayiis hassayis
hassayissiis hassayissis
hawhu hawhu
hawlliis hawllis
hayriis hayris
hayttatiis hayttatis
heebboyiis heebboyis
heemmiis heemmis
heessoyiis heessoyis
heetiis heetis
heetiis heetis
hemiis hemis
hemettiis hemettis
hidootaa hidootaa
higishshiballiis higishshiballis
hiillatiis hiillatis
hiixxiis hiixxis
hiraagaa hiraagaa
hiraagiis hiraagis
hirggissiis hirggissis
hiyyeesissiis hiyyeesissis
hoettiis hoettis
hobbiis hobbis
hodhdhihodhdhiis hodhdhihodhdhis
holssayiis holssayis
homu homu
homppayiis homppayis
homppu homppu
honchchayiis honchchayis
honchchu honchchu
hoola hoola
hooliis hoolis
hooranssiis hooranssis
hooshiis hooshis
horddiis horddis
hoshkkayiis hoshkkayis
hoskkayiis hoskkayis
hoskkiis hoskkis
hottayiis hottayis
hulluuqiis hulluuqis
hunchchiis hunchchis
huqqunniis huqqunnis
hurbbuti hurbbuti
hurchchuchchu hurchchuchchu
hurppayiis hurppayis
hurxxiis hurxxis
hurxxu hurxxu
hussayiis hussayis
huttayiis huttayis
huusiis huusis
huuxxiis huuxxis
icciis iccis
idinttiis idinttis
iiggiis iiggis
iisettiis isettis
iishiis ishis
iissiis issis
imattayiis imattayis
imattiis imattis
immiis immis
injjeyiis injjeyis
iqiis iqis
irkkissiis irkkissis
irkkoyiis irkkoyis
irxxiis irxxis
irxxissiis irxxissis
irzziiziis irzziizis
ishaliis ishalis
ishalissiis ishalissis
ishshoyiis ishshoyis
isisayiis isisayis
issi issi
issi issi
issippe issippe
ixaanaa ixaanaa
ixxiis ixxis
jaakirettiis jaakirettis
jabanaa jabanaa
jalissiis jalissis
jallettiis jallettis
ka''iis kaxxis
kaaettiis kaaettis
kaaiis kaais
kaachchifatiis kaachchifatis
kaaciis kaacis
kaadiis kaadis
kaafettiis kaafettis
kaafiis kaafis
kaalettiis kaalettis
kaalliis kaallis
kaashi kaashi
kaashiis kaashis
kaassiis kaassis
kaaxiis kaaxis
kabboyiis kabboyis
kacciis kaccis
kaddiis kaddis
kafotiis kafotis
kajjeeliis kajjeelis
kakkafiis kakkafis
kalissiis kalissis
kalkkotiis kalkkotis
kalkkoyiis kalkkoyis
kalloyiis kalloyis
kalttaasiis kalttaasis
kamerettiis kamerettis
kammiis kammis
kanaa kanaa
kanaa kanaa
kaqqiis kaqqis
karayiis karayis
karchchiis karchchis
karexissiis karexissis
karhhi karhhi
kariis karis
kariis karis
karkkamiis karkkamis
karssikarssiis karssikarssis
kashettaasu kashettaasu
kashi kashi
kashiis kashis
kasiis kasis
katafiis katafis
kattiis kattis
kawhu kawhu
kawoyiis kawoyis
kawshshiis kawshshis
kayyoyiis kayyoyis
kebbiis kebbis
keediis keedis
keeliis keelis
keemmiis keemmis
keeriis keeris
keesettiis keesettis
keesiis keesis
keexxiis keexxis
kehissiis kehissis
kelttiya kelttiya
kessi kessi
kessiis kessis
kichichchiis kichichchis
kiirimmiis kiirimmis
kiishiis kishis
kiisiis kisis
kiittiis kiittis
kiliis kilis
kilppayiis kilppayis
kimbbishiis kimbbishis
kinchcherettiis kinchcherettis
kinchchiis kinchchis
kinchchoyiis kinchchoyis
kirissinnaa kirissinnaa
kirssinnaa kirssinnaa
kobayiis kobayis
kokkiis kokkis
kolettiis kolettis
koliis kolis
komppiis komppis
komppu komppu
konchchayiis konchchayis
konkkarssiis konkkarssis
konkkomiis konkkomis
konssooniis konssoonis
konttiya konttiya
konttiya konttiya
konttiya konttiya
koochchiis koochchis
kooliis koolis
koolloyiis koolloyis
kooriis kooris
koosiis koosis
kophphetiis kophphetis
koriis koris
koriis koris
koshshiis koshshis
koxxaasu koxxaasu
koxxíís koxxíís
koyettiis koyettis
koyiis koyis
koyroyiis koyroyis
koytiis koytis
koyzziis koyzzis
kukkumiis kukkumis
kulashaasu kulashaasu
kulmiis kulmis
kumexissiis kumexissis
kunddissiis kunddissis
kunttiis kunttis
kurkkumiis kurkkumis
kurshshiis kurshshis
kushettiis kushettis
kushiya kushiya
kushiya kushiya
kushiya kushiya
kushiya kushiya
kushiya kushiya
kushiya kushiya
kuttu kuttu
kutuutiis kutuutis
kuucciis kuuccis
kuulumuliis kuulumulis
kuuriis kuuris
kuuyiis kuuyis
kuwatiis kuwatis
kuwayiis kuwayis
laa laa
laayiis laayis
laiis lais
laaanttiis laaanttis
laaiis laais
laacciis laaccis
laachchiis laachchis
laafettiis laafettis
laaggiis laaggis
laagottiis laagottis
laagoxissiis laagoxissis
laagoxxiis laagoxxis
laalettiis laalettis
laaliis laalis
laallanttiis laallanttis
laalukkiis laalukkis
laammerettiis laammerettis
laammiis laammis
laaqunttiis laaqunttis
laatissiis laatissis
laattiis laattis
laawiis laawis
labaciis labacis
labiis labis
laggeyiis laggeyis
lagiis lagis
lahottiis lahottis
lahoyiis lahoyis
lakakkiis lakakkis
laliis lalis
lallabiis lallabis
lancciis lanccis
landdagichchiis landdagichchis
lanqqekkiis lanqqekkis
lanqqiis lanqqis
laqashiis laqashis
laqilaqiis laqilaqis
laqilaqissiis laqilaqissis
lasamuriis lasamuris
lashiis lashis
lassaniis lassanis
laxiis laxis
leeissiis leeissis
leebbaashetiis leebbaashetis
leefiis leefis
leelleesiis leelleesis
leemisiis leemisis
leeqqamissiis leeqqamissis
leeqqanttiis leeqqanttis
lefettiis lefettis
lelefiis lelefis
lemiis lemis
liciis licis
liiqaa liiqaa
liiqissiis liiqissis
liixiis liixis
likkenna likkenna
likkiis likkis
limi limi
linqqilinqqiis linqqilinqqis
liphiis liphis
liphphi liphphi
loggomiis loggomis
lokkayiis lokkayis
lokkomiis lokkomis
londdiis londdis
loohiis loohis
loohissiis loohissis
loolliis loollis
looqqoyiis looqqoyis
looxigissiis looxigissis
looxiis looxis
looxilooxiis looxilooxis
looxiqissiis looxiqissis
loqiis loqis
loshkkayiis loshkkayis
loyttiis loyttis
lukkiis lukkis
lullumiis lullumis
luphphu luphphu
luucciis luuccis
luukkiis luukkis
luuyiis luuyis
luxiis luxis
luxissiis luxissis
maachchaa maachchaa
maaciis maacis
maaddiis maaddis
maadettiis maadettis
maaran maaran
maarayiis maarayis
maarehoo maarehoo
maaretissiis maaretissis
maarettiis maarettis
maaríís maaríís
mááriis mááris
maarotaa maarotaa
maashiis maashis
maashiis maashis
maashiniyan maashiniyan
máátaappe máátaappe
maattiis maattis
maaxxaasu maaxxaasu
maayiis maayis
macaraa macaraa
macca macca
machchiis machchis
maddabettiis maddabettis
magaaxiis magaaxis
maganniis magannis
maganxxiis maganxxis
maggulliis maggullis
mahettiis mahettis
mahiis mahis
mahiis mahis
makkiis makkis
makkisiis makkisis
malettiis malettis
malaatiis malaatis
malatiis malatis
mali mali
maliis malis
malkkachchaa malkkachchaa
mallisiis mallisis
malttiis malttis
mammotiis mammotis
manddiis manddis
mankkayiis mankkayis
manniis mannis
manqqetiis manqqetis
maqali maqali
maqasiis maqasis
maqettiis maqettis
maqqacciis maqqaccis
maqqiis maqqis
maracciya maracciya
mari mari
markkattiis markkattis
markkayiis markkayis
marssiis marssis
marxxafiis marxxafis
marxxiis marxxis
masatissiis masatissis
masimaariis masimaaris
masqqaliis masqqalis
massammiis massammis
massiis massis
masunxxissiis masunxxissis
matayiis matayis
mattoyiis mattoyis
mattuma mattuma
maxerettiis maxerettis
maxiis maxis
maxissiis maxissis
mayssiis mayssis
mayzziis mayzzis
mazggabettiis mazggabettis
mazggabiis mazggabis
medhdhiis medhdhis
meecciis meeccis
meediis meedis
meegiis meegis
meeshiis meeshis
meexxariis meexxaris
meezaaniis meezaanis
meezetiis meezetis
meezeyiis meezeyis
mehiya mehiya
mehiya mehiya
mela mela
mela mela
melissiis melissis
mentterettiis mentterettis
mentti mentti
mentti mentti
menttiis menttis
menttuwan menttuwan
mereessiis mereessis
mereetiis mereetis
merettiis merettis
metiis metis
metoyiis metoyis
metuwa metuwa
metuwa metuwa
mícciis míccis
miciiriis miciiris
micissiis micissis
midiidiis midiidis
miicciis miiccis
miichchiis miichchis
miiqqiis miiqqis
miis mis
miishshaa mishshaa
mikiikiis mikiikis
milatiis milatis
milatissiis milatissis
minddiiriis minddiiris
minggilicayiis minggilicayis
minjjiis minjjis
minttettiis minttettis
minttiis minttis
miqiiqqiliis miqiiqqilis
miqqaynniis miqqaynnis
mirggaaciis mirggaacis
mirggiis mirggis
mirqqiis mirqqis
misatiis misatis
misatissiis misatissis
misimaariis misimaaris
misoomiis misoomis
mittaa mittaa
mittiis mittis
mittiis mittis
mixiis mixis
mixxilliis mixxillis
miyyetiis miyyetis
miyyiis miyyis
miziis mizis
mogoliis mogolis
mokkiis mokkis
mol''iis modhdhis
moliis molis
molshshayiis molshshayis
mommoliis mommolis
moocu moocu
mooddiis mooddis
moodettiis moodettis
moogiis moogis
mooqiis mooqis
mooradiis mooradis
moorettiis moorettis
mooriis mooris
mootettiis mootettis
mootiis mootis
morettiis morettis
morggiya morggiya
morkkiis morkkis
moyssiis moyzis
muciis mucis
mucuraakiis mucuraakis
mucuuriis mucuuris
mudiis mudis
mulluxiis mulluxis
mulxxuxxu mulxxuxxu
munaqqiis munaqqis
muraamuriis muraamuris
mureessiis mureessis
murkkiis murkkis
murttiis murttis
murunniis murunnis
murutissiis murutissis
murxxissiis murxxissis
mushushshiis mushushshis
muttumuriis muttumuris
muucettiis muucettis
muuciis muucis
muuruqiis muuruqis
muuxxiis muuxxis
muxiis muxis
muxuxiis muxuxis
naaanttiis naaanttis
naaciis naacis
naagiis naagis
naaqqiis naaqqis
naassiis naassis
nabbabiis nabbabis
nafiis nafis
nagaraappe nagaraappe
naggiis naggis
nagiriitaa nagiriitaa
nakkiis nakkis
namisiis namisis
nanggiis nanggis
naqiis naqis
narphphiis narphphis
nashshiis nashshis
niqiichchiis niqiichchis
nohayiis nohayis
nookkiis nookkis
noppayiis noppayis
norshshayiis norshshayis
norxxayiis norxxayis
noskkayiis noskkayis
nukkiis nukkis
nuppu nuppu
nuufayiis nuufayis
odiis odis
oduwa oduwa
ogiya ogiya
ohettiis ohettis
olettiis olettis
oliis olis
omoodettiis omoodettis
omoodiis omoodis
onakkiis onakkis
onccilattiis onccilattis
onggiis onggis
onggiis onggis
ooggiis ooggis
ooggiis ooggis
oohiis oohis
ooraxxissiis ooraxxissis
ooshshiis ooshshis
ooso ooso
oosuwa oosuwa
oosuwan oosuwan
oosuwan oosuwan
oottiis oottis
ooyettiis ooyettis
ooyiis ooyis
orddissiis orddissis
oshan oshan
oshiis oshis
otorettiis otorettis
otorssiis otorssis
oychchi oychchi
oychchiis oychchis
oykkiis oykkis
oyqettiis oyqettis
oyqqiis oyqqis
oysettiis oysettis
oyttiis oyttis
paacciis paaccis
paahiis paahis
paattiis paattis
paaxiis paaxis
pacissiis pacissis
padiis padis
pagaliis pagalis
paggiis paggis
panddiis panddis
pannisiis pannisis
paramiis paramis
paraqqiis paraqqis
parggulliis parggullis
pariis paris
parssotiis parssotis
pashkkissiis pashkkissis
patipanniis patipannis
pattiis pattis
paydiis paydis
pedukkiis pedukkis
peegaamettiis peegaamettis
peeriis peeris
peeshshiis peeshshis
pelliis pellis
penttissiis penttissis
pereggiis pereggis
pereroyiis pereroyis
phalqqiis phalqqis
phalqqiis phalqqis
phanqqaliis phanqqalis
phanqqiis phanqqis
phaphiis phaphis
phayxiis phayxis
pheexigazziis pheexigazzis
phenqqeshiis phenqqeshis
phixxilliis phixxillis
phuphphuriis phuphphuris
phuuphullaasu phuuphullaasu
piillanttiya piillanttiya
piitiis piitis
piixiis piixis
piizziis piizzis
pilggiis pilggis
pincciis pinccis
pinccipilliis pinccipillis
pinttiis pinttis
pinzziis pinzzis
piqqiis piqqis
pirccayiis pirccayis
pirddiis pirddis
piriis piris
pirqqattiis pirqqattis
pirxxiis pirxxis
piskkayiis piskkayis
piskki piskki
pissiya pissiya
pitettiis pitettis
pittiis pittis
pixiis pixis
pixinggiis pixinggis
pixiriis pixiris
pocissiis pocissis
poddayiis poddayis
poddu poddu
pogiis pogis
poliis polis
polissiis polissis
pooissiis pooissis
poolliis poollis
poonniis poonnis
pooqqiis pooqqis
pooshshiis pooshshis
poosipoosiis poosipoosis
poottiis poottis
pootuwa pootuwa
pooxettaa pooxettaa
pooxiis pooxis
poqettiis poqettis
poqqiis poqqis
poshiliis poshilis
poshshayiis poshshayis
poskkayiis poskkayis
possayiis possayis
poxooriis poxooris
poxooruwa poxooruwa
poxxiis poxxis
pozhzhu pozhzhu
pude pude
pude pude
puggiis puggis
punniis punnis
purchchakkiis purchchakkis
purchchiis purchchis
purggiis purggis
purxxiis purxxis
pushakkiis pushakkis
pushaliis pushalis
pushiis pushis
putiis putis
puukkiis puukkis
puulattiis puulattis
puulayiis puulayis
puuliis puulis
puurissiis puurissis
puushiis puushis
puusiis puusis
puutissiis puutissis
puuziis puuzis
puyxayiis puyxayis
qaachchiis qaachchis
qaaciis qaacis
qaadiis qaadis
qaafiis qaafis
qaala qaala
qaalaa qaalaa
qaalaa qaalaa
qaalaa qaalaa
qaammiis qaammis
qaaphiis qaaphis
qaaqqatiis qaaqqatis
qaaqqiis qaaqqis
qaaratiis qaaratis
qaariis qaaris
qaaserettiis qaaserettis
qaasettiis qaasettis
qaattiis qaattis
qaattiis qaattis
qacaasu qacaasu
qachchiis qachchis
qacinchchiis qacinchchis
qakkiis qakkis
qalamiis qalamis
qallabiis qallabis
qamiis qamis
qaniis qanis
qanaatiis qanaatis
qanchchiis qanchchis
qanggiis qanggis
qaniis qanis
qanttiis qanttis
qanxxerettiis qanxxerettis
qanxxiis qanxxis
qaphiis qaphis
qaphphi qaphphi
qaqqaasiis qaqqaasis
qaraariis qaraaris
qarabbiis qarabbis
qarattiis qarattis
qarayiis qarayis
qarettiis qarettis
qariis qaris
qarphphi qarphphi
qarqqaabbiis qarqqaabbis
qashamiis qashamis
qasho qasho
qasiis qasis
qawayiis qawayis
qawcalattiis qawcalattis
qawcayiis qawcayis
qawxanniis qawxannis
qaxariis qaxaris
qaxiballiis qaxiballis
qaxuhatiis qaxuhatis
qaxxariis qaxxaris
qaxxayiis qaxxayis
qaxxiis qaxxis
qayciis qaycis
qaydiis qaydis
qayxaariis qayxaaris
qeexiis qeexis
qel\\qeliis qel\\qelis
qelekkiis qelekkis
qelxxummiis qelxxummis
qeriis qeris
qexe qexe
qijjiliis qijjilis
qilimmiis qilimmis
qilliiciis qilliicis
qilxxi qilxxi
qimotiis qimotis
qimiixiis qimiixis
qiphiis qiphis
qiphilattiis qiphilattis
qiphiqiphiis qiphiqiphis
qiriis qiris
qirqqaabbiis qirqqaabbis
qishiis qishis
qiwayiis qiwayis
qixiis qixis
qixxi qixxi
qizaggiis qizaggis
qociis qocis
qociriis qociris
qoddiis qoddis
qofi qofi
qofissiis qofissis
qohiis qohis
qolchchiis qolchchis
qoliis qolis
qolocayiis qolocayis
qoncciis qonccis
qonccissiis qonccissis
qooiis qoois
qoobbayiis qoobbayis
qoociqoociis qoociqoocis
qoodiis qoodis
qoomettiis qoomettis
qoommiis qoommis
qooqiis qooqis
qooren qooren
qooroyiis qooroyis
qoosiis qoosis
qooxiis qooxis
qoppi qoppi
qoppiis qoppis
qoqoqayiis qoqoqayis
qoqqofiis qoqqofis
qoraphphiis qoraphphis
qorasiis qorasis
qorccayiis qorccayis
qorccu qorccu
qoriis qoris
qorphphayiis qorphphayis
qorqqoriis qorqqoris
qosiis qosis
qottiis qottis
qoxaasu qoxaasu
qoxomiis qoxomis
qoxxiis qoxxis
qozhzhattiis qozhzhattis
qucciis quccis
qucucayiis qucucayis
qufiis qufis
quliya quliya
qulliis qullis
qulppiis qulppis
qumaayiis qumaayis
qumppiqumppissiis qumppiqumppissis
qunxxissiis qunxxissis
qurphphu qurphphu
qururuusiis qururuusis
quuttiis quuttis
quxariis quxaris
saiis sais
saagiis saagis
saaliis saalis
saamaa saamaa
saamay saamay
saaphoyiis saaphoyis
saasukkiis saasukkis
saattiis saattis
sabbiis sabbis
safiis safis
saggiis saggis
sakaaliis sakaalis
saliis salis
salkki salkki
salkkiis salkkis
saluwa saluwa
saluwa saluwa
samettiis samettis
sanggisiis sanggisis
saphiis saphis
sarbbiis sarbbis
sarotiis sarotis
sattiis sattis
sawiis sawis
sawuwa sawuwa
saxxiis saxxis
sayiis sayis
seelettiis seelettis
seelissiis seelissis
seeriis seeris
seexxiis seexxis
serefiis serefis
shaan shaan
